
Entidad federativa,Indicador,2006,2011,2016
México,Con violencia de pareja,62.1,60.3,55.9
México,Sin daños,30.1,41.0,42.9
México,Con daños emocionales,42.6,36.6,36.3
México,Con daños físicos y emocionales,26.8,20.8,18.9
Michoacán de Ocampo,Con violencia de pareja,44.6,48.5,48.3
Michoacán de Ocampo,Sin daños,22.4,29.1,46.3
Michoacán de Ocampo,Con daños emocionales,47.4,43.4,30.3
Michoacán de Ocampo,Con daños físicos y emocionales,29.1,24.5,18.4
Morelos,Con violencia de pareja,52.8,51.7,46.6
Morelos,Sin daños,34.1,38.9,47.1
Morelos,Con daños emocionales,39.4,36.0,27.8
Morelos,Con daños físicos y emocionales,25.6,22.2,22.0
Nayarit,Con violencia de pareja,44.8,58.0,40.5
Nayarit,Sin daños,32.6,40.6,51.1
Nayarit,Con daños emocionales,45.9,39.7,23.8
Nayarit,Con daños físicos y emocionales,20.3,17.8,18.1
Nuevo León,Con violencia de pareja,38.9,46.0,33.5
Nuevo León,Sin daños,44.9,47.0,57.0
Nuevo León,Con daños emocionales,33.2,31.9,23.2
Nuevo León,Con daños físicos y emocionales,19.6,18.5,15.9
Oaxaca,Con violencia de pareja,48.4,47.3,48.6
Oaxaca,Sin daños,37.2,35.1,52.0
Oaxaca,Con daños emocionales,36.4,41.5,25.0
Oaxaca,Con daños físicos y emocionales,26.3,20.0,19.5
Puebla,Con violencia de pareja,53.3,51.4,47.3
Puebla,Sin daños,33.8,39.2,49.8
Puebla,Con daños emocionales,37.6,37.0,27.6
Puebla,Con daños físicos y emocionales,27.2,21.6,19.0
Querétaro,Con violencia de pareja,43.3,46.7,46.6
Querétaro,Sin daños,28.1,36.4,41.8
Querétaro,Con daños emocionales,45.2,39.5,34.1
Querétaro,Con daños físicos y emocionales,26.7,22.3,20.5
Quintana Roo,Con violencia de pareja,44.4,49.3,44.1
Quintana Roo,Sin daños,36.4,42.2,50.9
Quintana Roo,Con daños emocionales,34.4,34.3,28.3
Quintana Roo,Con daños físicos y emocionales,26.9,20.6,16.2
San Luis Potosí,Con violencia de pareja,45.5,48.7,39.9
San Luis Potosí,Sin daños,36.1,33.2,45.4
San Luis Potosí,Con daños emocionales,37.9,36.6,28.5
San Luis Potosí,Con daños físicos y emocionales,25.5,26.9,22.6
Sinaloa,Con violencia de pareja,46.3,44.3,39.9
Sinaloa,Sin daños,38.9,50.6,54.4
Sinaloa,Con daños emocionales,43.3,30.0,26.4
Sinaloa,Con daños físicos y emocionales,16.7,16.6,14.9
Sonora,Con violencia de pareja,48.1,55.4,37.5
Sonora,Sin daños,37.8,44.3,52.5
Sonora,Con daños emocionales,41.8,41.1,28.0
Sonora,Con daños físicos y emocionales,19.6,13.6,15.6
Tabasco,Con violencia de pareja,54.9,42.8,41.2
Tabasco,Sin daños,39.4,42.8,47.3
Tabasco,Con daños emocionales,34.5,30.4,26.7
Tabasco,Con daños físicos y emocionales,25.5,21.2,22.7
Tamaulipas,Con violencia de pareja,40.8,42.1,35.5
Tamaulipas,Sin daños,39.5,42.8,55.2
Tamaulipas,Con daños emocionales,39.4,35.2,24.0
Tamaulipas,Con daños físicos y emocionales,19.1,19.4,17.0
Tlaxcala,Con violencia de pareja,45.4,50.2,46.2
Tlaxcala,Sin daños,31.0,34.9,49.6
Tlaxcala,Con daños emocionales,39.3,39.2,25.3
Tlaxcala,Con daños físicos y emocionales,27.7,23.8,22.3
Veracruz de Ignacio de la Llave,Con violencia de pareja,45.1,49.5,44.9
Veracruz de Ignacio de la Llave,Sin daños,38.2,37.5,47.0
Veracruz de Ignacio de la Llave,Con daños emocionales,35.4,37.0,32.3
Veracruz de Ignacio de la Llave,Con daños físicos y emocionales,25.6,22.8,18.3
Yucatán,Con violencia de pareja,43.3,50.8,47.7
Yucatán,Sin daños,42.5,46.4,50.3
Yucatán,Con daños emocionales,32.8,32.6,28.5
Yucatán,Con daños físicos y emocionales,22.6,18.5,18.0
Zacatecas,Con violencia de pareja,43.9,49.6,43.7
Zacatecas,Sin daños,34.1,29.8,47.6
Zacatecas,Con daños emocionales,38.4,45.6,28.2
Zacatecas,Con daños físicos y emocionales,26.0,22.0,20.4
